# TinZr Multi Recording
# DateTime: 2025-12-18T22:03:37.807495
# Device: TinZrBlack
# Address: D8:85:AC:4E:38:6E
time_s,ax,ay,az,gx,gy,gz,red,ir,hr_bpm,spo2_pct,batt_pct
8.978094,-0.007000,-0.926000,0.412000,2.130000,-4.830000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
8.978094,-0.006000,-0.926000,0.414000,2.200000,-4.930000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
8.978094,-0.008000,-0.927000,0.414000,2.270000,-4.970000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
8.978094,-0.009000,-0.924000,0.410000,2.380000,-4.900000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
8.978094,-0.008000,-0.924000,0.414000,2.410000,-4.900000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
8.978094,-0.010000,-0.923000,0.412000,2.410000,-5.040000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.010000,-0.924000,0.414000,2.410000,-4.970000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.009000,-0.924000,0.416000,2.340000,-4.830000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.007000,-0.925000,0.415000,2.450000,-4.900000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.010000,-0.924000,0.417000,2.380000,-4.830000,-0.450000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.009000,-0.925000,0.415000,2.170000,-4.720000,-0.490000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.011000,-0.927000,0.414000,2.130000,-4.720000,-0.490000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.008000,-0.924000,0.416000,2.100000,-4.860000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.010000,-0.925000,0.414000,1.890000,-4.790000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.037514,-0.007000,-0.925000,0.416000,1.920000,-4.790000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
